Що таке UWC? ,"UWC (United World Colleges) – це глобальна освітня програма, що робить освіту силою, яка об’єднує людей, нації та культури заради всесвітнього миру та стабільного майбутнього. question: "
Яка освітня модель та принципи UWC?,"Ядром освітньої системи UWC є розмаїття. Це є основним компонентом шкіл та коледжів, що є прийнятим у всій спільноті UWC.  Усі студенти зможуть отримати тільки найкраще від навчання у міжнародному товаристві, що допоможе не тільки розширити світогляд та посилити почуття само-ідентифікації, але й отримати міжнародний диплом.  Ми допомагаємо студентам відшукати можливості для змін. Їх навчають, як вони можуть змінити світ за допомогою сміливих вчинків, особистого прикладу та безкорисного лідерства. Ми підтримуємо молодих людей у прагненні до розкриття їх інтелектуального, морального, естетичного, емоційного, соціального, духовного та фізичного потенціалів. there should be only a question, and when you click on it, the answer should drop down also the admin can add questions and answers himself"
